iter	F1	Logloss
0	0.6470726796	0.6899439179
1	0.6767605102	0.6871436787
2	0.6814045379	0.6843871742
3	0.6793712734	0.6819155794
4	0.6795769903	0.6806232047
5	0.6821962998	0.6784598218
6	0.6832993921	0.6760238152
7	0.6877016963	0.6737319194
8	0.6895866759	0.6713543969
9	0.6910974037	0.6689453803
10	0.6930860395	0.6663807904
11	0.6930661245	0.6643702463
12	0.6914367353	0.6624436006
13	0.6899935195	0.6603955181
14	0.6902142168	0.6584451049
15	0.6904943547	0.6566941416
16	0.6915609556	0.6547983242
17	0.6933977332	0.6527991439
18	0.6945804897	0.6511906714
19	0.6939192241	0.6492314948
20	0.6933864717	0.6476745625
21	0.6923445013	0.6460441079
22	0.6951898035	0.644052331
23	0.6965846215	0.6422032259
24	0.6966065185	0.6406628348
25	0.6970176114	0.6390383987
26	0.6977447917	0.6375677019
27	0.7007207597	0.6363029746
28	0.7016264213	0.6346513482
29	0.7044408653	0.6328020496
30	0.7037472102	0.631680048
31	0.7038309122	0.630597405
32	0.7039506648	0.629616811
33	0.705307794	0.6280423909
34	0.7052374801	0.6269891885
35	0.7044527023	0.6253968824
36	0.7055110597	0.6240986299
37	0.7053159451	0.6230715597
38	0.7072052153	0.621710533
39	0.7075854912	0.6204534096
40	0.7069632337	0.6193449593
41	0.7069269883	0.6183752148
42	0.7083863164	0.6173163177
43	0.7082350343	0.6164105309
44	0.7087247311	0.6155665345
45	0.7082464836	0.6147640673
46	0.7090810416	0.6134274236
47	0.7091338072	0.6122926164
48	0.7097314554	0.6110884987
49	0.7113527796	0.6097894931
50	0.7115410575	0.6088834091
51	0.7112611732	0.6079448389
52	0.7122658875	0.6071016626
53	0.7125004919	0.605950701
54	0.7129640161	0.605074663
55	0.7140117552	0.6039622673
56	0.7133669329	0.6030770349
57	0.7152187315	0.6022364839
58	0.7154694692	0.601467301
59	0.7149149548	0.6008427012
60	0.7139007262	0.6003136355
61	0.7155944837	0.5994315484
62	0.7153349945	0.5986538352
63	0.7169998206	0.5980534492
64	0.7166902874	0.5970029462
65	0.7166537754	0.5962974643
66	0.717676053	0.5955314811
67	0.7179807617	0.5944828249
68	0.7180485326	0.5937169041
69	0.719493555	0.592589206
70	0.7196441078	0.5915501231
71	0.7207810624	0.5908040316
72	0.7211025084	0.5899793054
73	0.7217144545	0.5893773074
74	0.7216390839	0.5887068557
75	0.721788854	0.5879293512
76	0.7221460485	0.5871513856
77	0.7238740047	0.5860697837
78	0.7240993544	0.5856044296
79	0.7238310012	0.5849283686
80	0.7246748639	0.584400566
81	0.7264583505	0.5836601511
82	0.7265229168	0.582970546
83	0.7271281744	0.5823824039
84	0.7284053434	0.581837888
85	0.728493496	0.5810439599
86	0.7285135702	0.5804841107
87	0.7278057186	0.5798295874
88	0.7282616956	0.5792889956
89	0.7293506104	0.5785720167
90	0.7304512088	0.5779155689
91	0.7306196537	0.5769972668
92	0.7303340028	0.5762113202
93	0.7314646742	0.5755449449
94	0.7321354755	0.5750335753
95	0.7319455317	0.5744320372
96	0.732187643	0.5736697949
97	0.7326230448	0.5731676938
98	0.7331419941	0.5724154994
99	0.7333247183	0.5718894488
100	0.7343627687	0.5713400761
101	0.7358492015	0.570941739
102	0.7364124982	0.5705271726
103	0.7361769776	0.5697506624
104	0.7361393232	0.5693737378
105	0.7371758069	0.5687335264
