iter	Passed	Remaining
0	190	380220
1	343	343084
2	498	331588
3	659	329242
4	752	300117
5	907	301541
6	1072	305462
7	1235	307543
8	1389	307284
9	1540	306578
10	1699	307235
11	1865	309126
12	2030	310289
13	2191	310819
14	2351	311119
15	2511	311367
16	2667	311153
17	2838	312534
18	3036	316586
19	3209	317789
20	3380	318603
21	3556	319792
22	3725	320262
23	3897	320893
24	4083	322628
25	4281	325072
26	4459	325861
27	4627	325928
28	4802	326430
29	4977	326839
30	5136	326257
31	5322	327339
32	5503	328070
33	5685	328736
34	5855	328727
35	6021	328490
36	6208	329376
37	6365	328678
38	6536	328659
39	6702	328411
40	6870	328261
41	7044	328427
42	7200	327718
43	7361	327272
44	7519	326695
45	7677	326130
46	7833	325486
47	7995	325162
48	8153	324646
49	8319	324444
50	8481	324136
51	8639	323642
52	8796	323142
53	8956	322749
54	9109	322136
55	9278	322102
56	9449	322102
57	9611	321818
58	9764	321222
59	9920	320747
60	10077	320318
61	10242	320161
62	10412	320132
63	10566	319648
64	10731	319462
65	10889	319097
66	11066	319278
67	11227	318989
68	11383	318582
69	11543	318258
70	11705	318023
71	11872	317911
72	12037	317769
73	12203	317617
74	12371	317539
75	12532	317265
76	12691	316955
77	12850	316637
78	13010	316371
79	13173	316170
80	13328	315771
81	13481	315339
82	13635	314919
83	13788	314500
84	13948	314261
85	14107	313977
86	14262	313602
87	14414	313183
88	14569	312834
89	14730	312610
90	14888	312339
91	15050	312144
92	15210	311900
93	15369	311631
94	15531	311438
95	15685	311104
96	15845	310856
97	16015	310840
98	16171	310527
99	16328	310243
100	16484	309934
101	16643	309701
102	16796	309357
103	16955	309102
104	17110	308800
105	17266	308508
106	17421	308220
107	17582	308025
108	17741	307794
109	17906	307665
110	18062	307396
111	18221	307155
112	18383	306984
113	18539	306708
114	18697	306483
115	18862	306357
116	19017	306073
117	19175	305840
118	19330	305552
119	19487	305303
120	19649	305133
121	19817	305058
122	19986	304991
123	20152	304885
124	20312	304685
125	20470	304463
126	20633	304305
127	20803	304258
128	20962	304032
129	21120	303810
130	21276	303556
131	21435	303346
132	21601	303228
133	21763	303061
134	21914	302747
135	22071	302513
136	22228	302270
137	22396	302189
138	22551	301931
139	22712	301757
140	22875	301597
141	23029	301334
142	23187	301108
143	23344	300888
144	23498	300616
145	23663	300492
146	23840	300524
147	24014	300501
148	24175	300322
149	24324	299999
150	24485	299822
151	24649	299689
152	24816	299584
153	24973	299357
154	25131	299145
155	25290	298946
156	25467	298957
157	25639	298916
158	25803	298769
159	25964	298586
160	26133	298511
161	26292	298305
162	26448	298075
163	26607	297870
164	26760	297613
165	26918	297405
166	27076	297190
167	27232	296969
168	27391	296765
169	27557	296651
170	27725	296546
171	27886	296376
172	28064	296378
